FIXED,MON_SCHOOL_DEPART,MON_STATION_DEPART,MON_SCHOOL_ARRIVE,TUE_SCHOOL_DEPART,TUE_STATION_DEPART,TUE_SCHOOL_ARRIVE,WED_SCHOOL_DEPART,WED_STATION_DEPART,WED_SCHOOL_ARRIVE,THU_SCHOOL_DEPART,THU_STATION_DEPART,THU_SCHOOL_ARRIVE,FRI_SCHOOL_DEPART,FRI_STATION_DEPART,FRI_SCHOOL_ARRIVE,
FALSE,7:55,8:10,8:25,7:55,8:10,8:25,7:55,8:10,8:25,7:55,8:10,8:25,7:55,8:10,8:25,
TRUE,8:00,8:15,8:30,8:00,8:15,8:30,8:00,8:15,8:30,8:00,8:15,8:30,8:00,8:15,8:30,
FALSE,8:02,8:17,8:32,8:02,8:17,8:32,8:02,8:17,8:32,8:02,8:17,8:32,8:02,8:17,8:32,
FALSE,8:03,8:18,8:33,8:03,8:18,8:33,8:03,8:18,8:33,8:03,8:18,8:33,8:03,8:18,8:33,
TRUE,8:05,8:20,8:35,8:05,8:20,8:35,8:05,8:20,8:35,8:05,8:20,8:35,8:05,8:20,8:35,
FALSE,8:45,9:00,9:15,8:45,9:00,9:15,8:45,9:00,9:15,8:45,9:00,9:15,8:45,9:00,9:15,
FALSE,8:52,9:07,9:22,8:52,9:07,9:22,8:52,9:07,9:22,8:52,9:07,9:22,8:52,9:07,9:22,
TRUE,9:00,9:15,9:30,9:00,9:15,9:30,9:00,9:15,9:30,9:00,9:15,9:30,9:00,9:15,9:30,
FALSE,9:02,9:17,9:32,9:02,9:17,9:32,9:02,9:17,9:32,9:02,9:17,9:32,9:02,9:17,9:32,
TRUE,9:05,9:20,9:35,9:05,9:20,9:35,9:05,9:20,9:35,9:05,9:20,9:35,9:05,9:20,9:35,
FALSE,9:45,10:00,10:15,9:45,10:00,10:15,9:45,10:00,10:15,9:45,10:00,10:15,9:45,10:00,10:15,
TRUE,10:00,10:15,10:30,10:00,10:15,10:30,10:00,10:15,10:30,10:00,10:15,10:30,10:00,10:15,10:30,
FALSE,10:02,10:17,10:32,10:02,10:17,10:32,10:02,10:17,10:32,10:02,10:17,10:32,10:02,10:17,10:32,
FALSE,10:03,10:18,10:33,10:03,10:18,10:33,10:03,10:18,10:33,10:03,10:18,10:33,10:03,10:18,10:33,
TRUE,10:05,10:20,10:35,10:05,10:20,10:35,10:05,10:20,10:35,10:05,10:20,10:35,10:05,10:20,10:35,
TRUE,12:00,12:15,12:30,12:00,12:15,12:30,12:00,12:15,12:30,12:00,12:15,12:30,12:00,12:15,12:30,
TRUE,13:00,13:15,13:30,13:00,13:15,13:30,13:00,13:15,13:30,13:00,13:15,13:30,13:00,13:15,13:30,
TRUE,14:00,14:15,14:30,14:00,14:15,14:30,14:00,14:15,14:30,14:00,14:15,14:30,14:00,14:15,14:30,
FALSE,15:00,15:15,15:30,15:00,15:15,15:30,15:00,15:15,15:30,15:00,15:15,15:30,15:00,15:15,15:30,
TRUE,15:15,15:30,15:45,15:15,15:30,15:45,15:15,15:30,15:45,15:15,15:30,15:45,15:15,15:30,15:45,
FALSE,15:45,16:00,16:15,15:45,16:00,16:15,15:45,16:00,16:15,15:45,16:00,16:15,15:45,16:00,16:15,
FALSE,16:00,16:15,16:30,16:00,16:15,16:30,16:00,16:15,16:30,16:00,16:15,16:30,16:00,16:15,16:30,
TRUE,16:15,16:30,16:45,16:15,16:30,16:45,16:15,16:30,16:45,16:15,16:30,16:45,16:15,16:30,16:45,
FALSE,16:45,17:00,17:15,16:45,17:00,17:15,16:45,17:00,17:15,16:45,17:00,17:15,16:45,17:00,17:15,
FALSE,16:55,17:10,17:25,16:55,17:10,17:25,16:55,17:10,17:25,16:55,17:10,17:25,16:55,17:10,17:25,
FALSE,17:05,17:20,17:35,17:05,17:20,17:35,17:05,17:20,17:35,17:05,17:20,17:35,17:05,17:20,17:35,
TRUE,17:15,17:30,17:45,17:15,17:30,17:45,17:15,17:30,17:45,17:15,17:30,17:45,17:15,17:30,17:45,
FALSE,17:45,18:00,18:15,17:45,18:00,18:15,17:45,18:00,18:15,17:45,18:00,18:15,17:45,18:00,18:15,
TRUE,18:15,18:30,18:45,18:15,18:30,18:45,18:15,18:30,18:45,18:15,18:30,18:45,18:15,18:30,18:45,
TRUE,19:15,19:30,19:45,19:15,19:30,19:45,19:15,19:30,19:45,19:15,19:30,19:45,19:15,19:30,19:45,